violation_type,violation_section,violation_description,reviewed_dv_classification,normalized_section,numeric_statute_family,explicit_attempt_prefix,categories,reason,charge_rows,source_id_groups,statute_url
PC,417A1,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,other,417A1,417,0,all|weapons,weapons: explicit PC numeric statute family 417,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=417.
PC,4571,FELON ON PRISON/JAIL GROUNDS,other,4571,4571,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4571.
PC,480,MAKE/POSS COUNTERFEIT MINTING PLATES (F),other,480,480,0,all,All-source population only; outside the selected statute-family indicators,7,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=480.
PC,484F(A),FORGE ACCESS CARD TO DEFRAUD (F),other,484F(A),484,0,all|property,property: explicit PC numeric statute family 484,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,487(A),GRAND THEFT (SHOPLIFTING),other,487(A),487,0,all|property,property: explicit PC numeric statute family 487,7,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
PC,488,PETTY THEFT(from Coin Oper Machine) (M),other,488,488,0,all|property,property: explicit PC numeric statute family 488,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=488.
PC,530.5(A),GET CREDIT/ETC OTHER'S ID,other,530.5(A),530.5,0,all|property,property: explicit PC numeric statute family 530.5,7,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=530.5.
PC,597(B),"ANIMAL CRUELTY - OVERWORKS OR CRUELLY ABUSES, MUTILATES, TORTURES, KILLS (F)",other,597(B),597,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=597.
PC,600A,WILLFULLY HARM PEACE OFCRS HORSE/DOG W/SER INJ (F),other,600A,600,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=600.
PC,637.7(A),INVADE PRIVACY:ILL USE OF ELEC TRACK DEVICE (M),other,637.7(A),637.7,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=637.7.
PC,646.9(C),STALKING W/PR (F),ambiguous_related,646.9(C),646.9,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=646.9.
PC,647(J)(4),DISORDERLY CONDUCT: DISTRIBUTION OF INTIMATE BODY PART IMAGES (M),other,647(J)(4),647,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
PC,653M(A),ANNOYING PHONE CALL OBSCENE/THREATENING - INTIMIDATION (M),ambiguous_related,653M(A),653,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=653.
PC,666.1(A)(1),PETTY THEFT (ALL OTHER LARCENY) W/2+ PRIOR CONVICTIONS (M),other,666.1(A)(1),666.1,0,all|property,property: explicit PC numeric statute family 666.1,7,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=666.1.
PC,853.5,REFUSE:TO SIGN/BE FINGERPRINTED/NO IDENTIFICATION (I),other,853.5,853.5,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=853.5.
PC,978.5,BENCH WARRANT/FAILURE TO APPEAR ON FELONY CHARGE,other,978.5,978.5,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=978.5.
US,21841(A)(1),POSSESS WITH INTENT TO MFG/DISTRIBUTION CONTROLLED SUBSTANCE (F),other,21841(A)(1),21841,0,all,All-source population only; outside the selected statute-family indicators,7,7,
VC,21201(D)(1),NO BICYCLE LIGHT (I),other,21201(D)(1),21201,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21201.
VC,23111,THROW CIGARETTE/MATCH/ETC ON HWY (I),other,23111,23111,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23111.
VC,23123(A),USE CELL PHONE WHILE DRIVING WITHOUT HANDSFREE DEVICE (I),other,23123(A),23123,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23123.
VC,23152(F),DUI DRUG,other,23152(F),23152,0,all|driving,driving: explicit VC numeric statute family 23152,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23152.
VC,23153(A),DUI ALCOHOL:CAUSING BODILY INJURY,other,23153(A),23153,0,all|driving,driving: explicit VC numeric statute family 23153,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23153.
VC,24603A,TWO OR MORE STOPLAMPS (I),other,24603A,24603,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=24603.
VC,40302B,FAIL TO PROVIDE WRITTEN PROMISE AT ARREST,other,40302B,40302,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=40302.
VC,4462.5,UNLAWFUL DISPLAY OF REG:INTENT NON-COMPLIANCE,other,4462.5,4462.5,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=4462.5.
VC,4463(A)(2),PASS/UTTER FORGED VEH REGISTRATION (F),other,4463(A)(2),4463,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=4463.
VC,5201,LIC PLATES:POSITION VIOL (I),other,5201,5201,0,all,All-source population only; outside the selected statute-family indicators,7,7,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=5201.
BP,4326(B),MISUSE OF HYPODERMIC NEEDLE/SYRINGE (M),other,4326(B),4326,0,all,All-source population only; outside the selected statute-family indicators,6,6,
CO,69.111,OCCUPYING POSTED PREMISES PROHIBITED (M),other,69.111,69.111,0,all,All-source population only; outside the selected statute-family indicators,6,6,
HS,11352.1(B),DISPENSE/ETC DANGEROUS DRUGS/DEVICES (M),other,11352.1(B),11352.1,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11352.1.
HS,11355,SELL/ETC IN LIEU OF CONTROLLED SUBS (F),other,11355,11355,0,all|drug,drug: explicit HS numeric statute family 11355,6,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11355.
HS,11358(D),CULTIVATE MARIJUANA 6+ PLANTS W/ CERTAIN PRIORS OR CONDITIONS (F),other,11358(D),11358,0,all|drug,drug: explicit HS numeric statute family 11358,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11358.
HS,11359(C),POSSESS MARIJUANA FOR SALE W/ PRIOR CONVICTION (F),other,11359(C),11359,0,all|drug,drug: explicit HS numeric statute family 11359,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11359.
HS,11361(B),FURNISH/ETC MINOR WITH MARIJUANA (F),other,11361(B),11361,0,all|drug,drug: explicit HS numeric statute family 11361,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11361.
HS,11368,FORGE/ALTER NARCOTIC PRESCRIPTION (F),other,11368,11368,0,all|drug,drug: explicit HS numeric statute family 11368,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11368.
HS,11532(A),LOITER IN PUBLIC PLACE FOR ILLEGAL DRUG ACTIVITY (M),other,11532(A),11532,0,all,All-source population only; outside the selected statute-family indicators,6,3,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11532.
HS,12700(B)(1),"FIREWORKS, POSSESS LT 25 LBS (M)",other,12700(B)(1),12700,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=12700.
MC,13.36.090(B),ILLICT SCAVENGING PROHIBITED,other,13.36.090(B),13.36,0,all,All-source population only; outside the selected statute-family indicators,6,6,
MC,13.42.060A4,DISCHARGE ANY MATERIAL INTO STORM WATER SYSTEM (M),other,13.42.060A4,13.42,0,all,All-source population only; outside the selected statute-family indicators,6,6,
MC,9.04.010,CONSUMPTION OF ALCOHOL IN PUBLIC PLACE (M),other,9.04.010,9.04,0,all,All-source population only; outside the selected statute-family indicators,6,6,
PC,115(A),OFFER/ETC FALSE/FORGED INSTRUMENT TO FILE (F),other,115(A),115,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=115.
PC,148(B),REMOVE/ETC WEAPON FROM PEACE OFFICER/ETC:NOT FIREARM (F),other,148(B),148,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=148.
PC,148.4(A)(1),TAMPER WITH FIRE ALARM (M),other,148.4(A)(1),148.4,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=148.4.
PC,1551(A),FUGITIVE FROM JUSTICE:WARRANT ARREST,other,1551(A),1551,0,all,All-source population only; outside the selected statute-family indicators,6,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=1551.
PC,182(A)(4),CONSPIRACY:DEFRAUD PERS OF PROP (F),other,182(A)(4),182,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=182.
PC,205,AGGRAVATED MAYHEM (F),other,205,205,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=205.
PC,22010,MANUFACTURE/SALE/POSSESS/ETC NUNCHAKU (M),ambiguous_related,22010,22010,0,all|weapons,weapons: explicit PC numeric statute family 22010,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=22010.
PC,22810(E)(1),POSSESS/PURCHAS/ETC PROJECTILE TEAR GAS WEAPON (M),other,22810(E)(1),22810,0,all|weapons,weapons: explicit PC numeric statute family 22810,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=22810.
PC,243.4(A),SEXUAL BATT BY RESTRAINT (M),ambiguous_related,243.4(A),243.4,0,all|violence,violence: explicit PC numeric statute family 243.4; core-DV charge excluded from this family,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.4.
PC,243D,BATTERY W/SER BODILY INJURY,ambiguous_related,243D,243,0,all|violence,violence: explicit PC numeric statute family 243; core-DV charge excluded from this family,6,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.
PC,25400(C)(5),CARRY CONCEALED WEAPON WITH SPECIFIC CONVICTION (F),other,25400(C)(5),25400,0,all|weapons,weapons: explicit PC numeric statute family 25400,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25400.
PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY,core_dv,273.5A,273.5,0,all|core,Core DV: existing reviewed exact charge classification,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.5.
PC,287(B)(1),ORAL COPULATION W/ PERSON UNDER 18 YEARS (F),ambiguous_related,287(B)(1),287,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=287.
PC,288(C)(1),LEWD & LASCIVIOUS ACT W/CHILD 14/15:DEFENDANT 10 YRS OLDER (F),ambiguous_related,288(C)(1),288,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=288.
PC,288.4(B),ARRANGE/GO TO MEETING WITH MINOR (F),ambiguous_related,288.4(B),288.4,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=288.4.
PC,32625(A),POSSESS/ETC MACHINEGUN (F),other,32625(A),32625,0,all|weapons,weapons: explicit PC numeric statute family 32625,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=32625.
PC,368(D)(1),THEFT OF ELDER/DEPENDENT ADULT (EMBEZZLEMENT OVER $950) (F),ambiguous_related,368(D)(1),368,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=368.
PC,417(A)(2)(A),EXHIBIT CONCEALABLE FIREARM IN PUBLIC (M),other,417(A)(2)(A),417,0,all|weapons,weapons: explicit PC numeric statute family 417,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=417.
PC,422.6A,VIOLATE CIVIL RIGHTS BY THREAT OF FORCE (M),ambiguous_related,422.6A,422.6,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=422.6.
PC,4532(B)(2),ESCAPE JAIL/ETC WHILE CHARGED/ETC WITH FELONY:FORCE/VIOLENCE(IBR 90Z),other,4532(B)(2),4532,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4532.
PC,466,POSS BURGLARY TOOLS,other,466,466,0,all|property,property: explicit PC numeric statute family 466,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=466.
PC,470(A),FORGERY (M),other,470(A),470,0,all|property,property: explicit PC numeric statute family 470,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=470.
PC,487(A),GRAND THEFT (Theft From Coin Oper Machine or Dev) (F),other,487(A),487,0,all|property,property: explicit PC numeric statute family 487,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
PC,490.4(A)(4),RECRUIT/ORGANIZE/MANAGE ANOTHER FOR RETAIL THEFT: OVER $950 (F),other,490.4(A)(4),490.4,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=490.4.
PC,496(A),RECEIVE/ETC KNOWN STOLEN PROPERTY,other,496(A),496,0,all|property,property: explicit PC numeric statute family 496,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=496.
PC,529.5(A),MFR DECEPTIVE GOVERNMENT ID/DRVRS LIC (M),other,529.5(A),529.5,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=529.5.
PC,550(A)(4),FILE FALSE INS CLAIM FOR THEFT OF Mot Veh (F),other,550(A)(4),550,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=550.
PC,550(B)(1),PROVIDE FALSE INSURANCE INFO FOR PAY (F),other,550(B)(1),550,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=550.
PC,594.2(A),POSS TOOL WITH INTENT TO VANDALIZE (M),other,594.2(A),594.2,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=594.2.
PC,602.1(B),TRESPASS:OBSTRUCT BUSINESS OF PUBLIC AGENCY (M),other,602.1(B),602.1,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=602.1.
PC,647(J)(4)(A),DISTRIBUTE INTIMATE IMAGE CAUSING SERIOUS EMOTIONAL DISTRESS (M),other,647(J)(4)(A),647,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
PC,666.1(A)(1),GRAND THEFT (FROM BUILDING) W/2+ PRIOR CONVICTIONS (F),other,666.1(A)(1),666.1,0,all|property,property: explicit PC numeric statute family 666.1,6,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=666.1.
VC,10750(A),ALTER/CHANGE VEH IDENT NUMBERS (M),other,10750(A),10750,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=10750.
VC,13004(A),DISPLAY/POSS FAKE/ETC IDENT CARD (M),other,13004(A),13004,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=13004.
VC,21201D,BICYCLE HEADLIGHT/REFLECTOR VIOL (I),other,21201D,21201,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21201.
VC,21806A,RIGHT-OF-WAY:TO EMERGENCY VEH (I),other,21806A,21806,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21806.
VC,23103,RECKLESS DRIVING:HIGHWAY (F),other,23103,23103,0,all|driving,driving: explicit VC numeric statute family 23103,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23103.
VC,23153(B),DUI .08 ALC:CAUSING BODILY INJ,other,23153(B),23153,0,all|driving,driving: explicit VC numeric statute family 23153,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23153.
VC,23223,OPEN CONTAINER ALC IN VEH - PASS (I),other,23223,23223,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23223.
VC,26708.5,TINTED WINDSHIELD/WINDOWS/ETC (I),other,26708.5,26708.5,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=26708.5.
VC,27360A,UNRESTRAINED CHILD IN VEHICLE (PARENT/GUARDIAN) (I),other,27360A,27360,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=27360.
VC,4454A,NO REGISTRATION IN VEH (I),other,4454A,4454,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=4454.
VC,5204A,LIC PLATES:EXPIRED TABS OR FAILURE TO DISPLAY (I),other,5204A,5204,0,all,All-source population only; outside the selected statute-family indicators,6,6,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=5204.
WI,8103(F)(1),WEAPONS RESTRICTIONS VIOL:MENTALLY DISORDERED PERS (F),other,8103(F)(1),8103,0,all,All-source population only; outside the selected statute-family indicators,6,6,
BP,22435,TAKE MARKED CART FROM RETAIL ESTABLISHMENT (M),other,22435,22435,0,all,All-source population only; outside the selected statute-family indicators,5,5,
CO,73.111,PERSON STAND/SIT ON CROSSWALK/SIDEWALK/STEET/PARK TO OBSTRUCT OR ANNOY (M),other,73.111,73.111,0,all,All-source population only; outside the selected statute-family indicators,5,5,
HS,12671,SELL/USE/ETC UNCLASSED FIREWORKS (M),other,12671,12671,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=12671.
MC,10.20.140,"CAMPING, ETC., ON PRIVATE PROPERTY WITHOUT PERMISSION",other,10.20.140,10.20,0,all,All-source population only; outside the selected statute-family indicators,5,5,
MC,9.04.040,LITTERING/DISTRIBUTING FLYERS IN CITY (M),other,9.04.040,9.04,0,all,All-source population only; outside the selected statute-family indicators,5,3,
MC,9.60.040,HARASS PERSON IN PUBLIC PLACE TO SOLICIT MONEY OR GOODS,other,9.60.040,9.60,0,all,All-source population only; outside the selected statute-family indicators,5,5,
PC,148(A)(1),OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,other,148(A)(1),148,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=148.
PC,209(B)(1),KIDNAP TO COMMIT ROBBERY/RAPE/289 PC (F),ambiguous_related,209(B)(1),209,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=209.
PC,21810,MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES,other,21810,21810,0,all|weapons,weapons: explicit PC numeric statute family 21810,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=21810.
PC,243.25,BATTERY ON ELDER OR DEPENDENT ADULT WITH NO INJURY / MINOR INJURY (M),ambiguous_related,243.25,243.25,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.25.
PC,243.4(E)(1),SEXUAL BATTERY,ambiguous_related,243.4(E)(1),243.4,0,all|violence,violence: explicit PC numeric statute family 243.4; core-DV charge excluded from this family,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.4.
PC,25400(A)(1),CARRY CONCEALED WEAPON IN VEHICLE,other,25400(A)(1),25400,0,all|weapons,weapons: explicit PC numeric statute family 25400,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25400.
PC,25400(C)(6)A,FELON CARRY A LOADED CONCEALED WEAPON ON PERSON (F),other,25400(C)(6)A,25400,0,all|weapons,weapons: explicit PC numeric statute family 25400,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25400.
PC,261(A)(1),RAPE:VIC INCAPABLE OF GIVING CONSENT (F),ambiguous_related,261(A)(1),261,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=261.
PC,273.5 (F)(1),INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (F),core_dv,273.5(F)(1),273.5,0,all|core,Core DV: existing reviewed exact charge classification,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.5.
PC,273D,INFLICT MINOR INJ UPON CHILD (M),ambiguous_related,273D,273,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.
PC,27545,UNLIC SALE/LOAN/TRANSFER OF FIREARM (F),other,27545,27545,0,all|weapons,weapons: explicit PC numeric statute family 27545,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=27545.
PC,288.7(B),FORCIBLE PENETRATION W/OBJECT:VICTIM UNDER 10 YEARS OF AGE (F),ambiguous_related,288.7(B),288.7,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=288.7.
PC,288.7(B),ORAL COPULATION:VICTIM UNDER 10 YEARS OF AGE: DEF 18+ (F),ambiguous_related,288.7(B),288.7,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=288.7.
PC,290.015,290 VIOLATION AFTER INCARCERATION (F),other,290.015,290.015,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=290.015.
PC,290.018(G),290 VIOLATION TRAN 30 DAY UPDATE (F),other,290.018(G),290.018,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=290.018.
PC,405A,LYNCHING WITH NO INJURY / MINOR INJURY (F),other,405A,405,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=405.
PC,422.6B,DAMAGE PROP TO VIOLATE CIVIL RIGHTS (M),ambiguous_related,422.6B,422.6,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=422.6.
PC,453(A),POSS/MFG/DISPOSE OF MATERIAL/DEV FOR ARSON (F),other,453(A),453,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=453.
PC,453(A),POSS/MFG/DISPOSE OF MATERIAL/DEVICE FOR ARSON (F),other,453(A),453,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=453.
PC,4530(B),PRISONER ESCAPE W/O FORCE (F),other,4530(B),4530,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4530.
PC,4570.5,FALSE IDENT FOR PRISON/JAIL ADMISSION (M),other,4570.5,4570.5,0,all,All-source population only; outside the selected statute-family indicators,5,5,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4570.5.
